_id,Anno,Milano,Lombardia
1,1993,,5.8
2,1994,,6.3
3,1995,,5.9
4,1996,,5.8
5,1997,,5.5
6,1998,,5.2
7,1999,,4.5
8,2000,,3.9
9,2001,,3.3
10,2002,,3.3
11,2003,,3.6
12,2004,4.9,4.1
13,2005,4.7,4.1
14,2006,4,3.7
15,2007,3.8,3.4
16,2008,4.1,3.7
17,2009,6,5.3
18,2010,5.7,5.5
19,2011,5.1,5.7
20,2012,6.9,7.4
21,2013,6.4,8
22,2014,8.1,8.2
23,2015,7.2,7.9
24,2016,6,7.4
25,2017,6.1,6.4
26,2018,6.2,6
27,2019,5.1,5.6
28,2020,6.0,5.0
29,2021,6.8,6.0
30,2022,5.8,4.9
