_id,casa circondariale,anno_rilevazione_detenuti,indicatori,detenuti
79,Casa di Reclusione Bollate,2019,detenuti stranieri Altri paesi europei,10
80,Casa di Reclusione Bollate,2019,detenuti stranieri Tunisia,21
81,Casa di Reclusione Bollate,2019,detenuti stranieri Marocco,92
82,Casa di Reclusione Bollate,2019,detenuti stranieri Algeria,3
83,Casa di Reclusione Bollate,2019,detenuti stranieri Nigeria,8
84,Casa di Reclusione Bollate,2019,detenuti stranieri Altri paesi africani,37
85,Casa di Reclusione Bollate,2019,detenuti stranieri Medio oriente,1
86,Casa di Reclusione Bollate,2019,detenuti stranieri Altri paesi asiatici,42
87,Casa di Reclusione Bollate,2019,detenuti stranieri Nord America,1
88,Casa di Reclusione Bollate,2019,detenuti stranieri Centro America,20
89,Casa di Reclusione Bollate,2019,detenuti stranieri Sud America,88
90,Casa di Reclusione Bollate,2019,detenuti stranieri Altra provenienza,1
91,Casa di Reclusione Opera,2019,Capienza regolamentare,918
92,Casa di Reclusione Opera,2019,Detenuti presenti al 31.12,1334
93,Casa di Reclusione Opera,2019,detenuti stranieri totale,329
94,Casa di Reclusione Opera,2019,detenuti stranieri Ue,27
95,Casa di Reclusione Opera,2019,detenuti stranieri Ex Jugoslavia,7
96,Casa di Reclusione Opera,2019,detenuti stranieri Albania,72
97,Casa di Reclusione Opera,2019,detenuti stranieri Altri paesi europei,6
98,Casa di Reclusione Opera,2019,detenuti stranieri Tunisia,20
99,Casa di Reclusione Opera,2019,detenuti stranieri Marocco,71
100,Casa di Reclusione Opera,2019,detenuti stranieri Algeria,5
101,Casa di Reclusione Opera,2019,detenuti stranieri Nigeria,5
102,Casa di Reclusione Opera,2019,detenuti stranieri Altri paesi africani,27
103,Casa di Reclusione Opera,2019,detenuti stranieri Medio oriente,3
104,Casa di Reclusione Opera,2019,detenuti stranieri Altri paesi asiatici,29
105,Casa di Reclusione Opera,2019,detenuti stranieri Nord America,0
106,Casa di Reclusione Opera,2019,detenuti stranieri Centro America,15
107,Casa di Reclusione Opera,2019,detenuti stranieri Sud America,41
108,Casa di Reclusione Opera,2019,detenuti stranieri Altra provenienza,1
109,Casa Circondariale S.Vittore,2018,Capienza regolamentare,825
110,Casa Circondariale S.Vittore,2018,Detenuti presenti al 31.12,984
111,Casa Circondariale S.Vittore,2018,detenuti stranieri totale,599
112,Casa Circondariale S.Vittore,2018,detenuti stranieri Ue,68
113,Casa Circondariale S.Vittore,2018,detenuti stranieri Ex Jugoslavia,18
114,Casa Circondariale S.Vittore,2018,detenuti stranieri Albania,52
115,Casa Circondariale S.Vittore,2018,detenuti stranieri Altri paesi europei,12
116,Casa Circondariale S.Vittore,2018,detenuti stranieri Tunisia,18
117,Casa Circondariale S.Vittore,2018,detenuti stranieri Marocco,143
118,Casa Circondariale S.Vittore,2018,detenuti stranieri Algeria,25
119,Casa Circondariale S.Vittore,2018,detenuti stranieri Nigeria,17
120,Casa Circondariale S.Vittore,2018,detenuti stranieri Altri paesi africani,120
121,Casa Circondariale S.Vittore,2018,detenuti stranieri Medio oriente,5
122,Casa Circondariale S.Vittore,2018,detenuti stranieri Altri paesi asiatici,43
123,Casa Circondariale S.Vittore,2018,detenuti stranieri Nord America,1
124,Casa Circondariale S.Vittore,2018,detenuti stranieri Centro America,11
125,Casa Circondariale S.Vittore,2018,detenuti stranieri Sud America,65
126,Casa Circondariale S.Vittore,2018,detenuti stranieri Altra provenienza,1
127,Casa di Reclusione Bollate,2018,Capienza regolamentare,1252
