_id,casa circondariale,anno_rilevazione_detenuti,indicatori,detenuti
393,Casa Circondariale S.Vittore,2013,detenuti stranieri Nord America,0
394,Casa Circondariale S.Vittore,2013,detenuti stranieri Centro America,25
395,Casa Circondariale S.Vittore,2013,detenuti stranieri Sud America,102
396,Casa Circondariale S.Vittore,2013,detenuti stranieri Altra provenienza,0
397,Casa di Reclusione Bollate,2013,Capienza regolamentare,976
398,Casa di Reclusione Bollate,2013,Detenuti presenti al 31.12,1181
399,Casa di Reclusione Bollate,2013,detenuti stranieri totale,381
400,Casa di Reclusione Bollate,2013,detenuti stranieri Ue,69
401,Casa di Reclusione Bollate,2013,detenuti stranieri Ex Jugoslavia,24
402,Casa di Reclusione Bollate,2013,detenuti stranieri Albania,46
403,Casa di Reclusione Bollate,2013,detenuti stranieri Altri paesi europei,5
404,Casa di Reclusione Bollate,2013,detenuti stranieri Tunisia,22
405,Casa di Reclusione Bollate,2013,detenuti stranieri Marocco,82
406,Casa di Reclusione Bollate,2013,detenuti stranieri Algeria,4
407,Casa di Reclusione Bollate,2013,detenuti stranieri Nigeria,4
408,Casa di Reclusione Bollate,2013,detenuti stranieri Altri paesi africani,25
409,Casa di Reclusione Bollate,2013,detenuti stranieri Medio oriente,7
410,Casa di Reclusione Bollate,2013,detenuti stranieri Altri paesi asiatici,30
411,Casa di Reclusione Bollate,2013,detenuti stranieri Nord America,1
412,Casa di Reclusione Bollate,2013,detenuti stranieri Centro America,12
413,Casa di Reclusione Bollate,2013,detenuti stranieri Sud America,50
414,Casa di Reclusione Bollate,2013,detenuti stranieri Altra provenienza,0
415,Casa di Reclusione Opera,2013,Capienza regolamentare,989
416,Casa di Reclusione Opera,2013,Detenuti presenti al 31.12,1287
417,Casa di Reclusione Opera,2013,detenuti stranieri totale,480
418,Casa di Reclusione Opera,2013,detenuti stranieri Ue,78
419,Casa di Reclusione Opera,2013,detenuti stranieri Ex Jugoslavia,17
420,Casa di Reclusione Opera,2013,detenuti stranieri Albania,67
421,Casa di Reclusione Opera,2013,detenuti stranieri Altri paesi europei,8
422,Casa di Reclusione Opera,2013,detenuti stranieri Tunisia,28
423,Casa di Reclusione Opera,2013,detenuti stranieri Marocco,121
424,Casa di Reclusione Opera,2013,detenuti stranieri Algeria,8
425,Casa di Reclusione Opera,2013,detenuti stranieri Nigeria,3
426,Casa di Reclusione Opera,2013,detenuti stranieri Altri paesi africani,38
427,Casa di Reclusione Opera,2013,detenuti stranieri Medio oriente,7
428,Casa di Reclusione Opera,2013,detenuti stranieri Altri paesi asiatici,37
429,Casa di Reclusione Opera,2013,detenuti stranieri Nord America,1
430,Casa di Reclusione Opera,2013,detenuti stranieri Centro America,14
431,Casa di Reclusione Opera,2013,detenuti stranieri Sud America,52
432,Casa di Reclusione Opera,2013,detenuti stranieri Altra provenienza,1
433,Casa Circondariale S.Vittore,2012,Capienza regolamentare,712
434,Casa Circondariale S.Vittore,2012,Detenuti presenti al 31.12,1616
435,Casa Circondariale S.Vittore,2012,detenuti stranieri totale,967
436,Casa Circondariale S.Vittore,2012,detenuti stranieri Ue,179
437,Casa Circondariale S.Vittore,2012,detenuti stranieri Ex Jugoslavia,41
438,Casa Circondariale S.Vittore,2012,detenuti stranieri Albania,85
439,Casa Circondariale S.Vittore,2012,detenuti stranieri Altri paesi europei,22
440,Casa Circondariale S.Vittore,2012,detenuti stranieri Tunisia,59
441,Casa Circondariale S.Vittore,2012,detenuti stranieri Marocco,183
442,Casa Circondariale S.Vittore,2012,detenuti stranieri Algeria,18
443,Casa Circondariale S.Vittore,2012,detenuti stranieri Nigeria,9
444,Casa Circondariale S.Vittore,2012,detenuti stranieri Altri paesi africani,126
445,Casa Circondariale S.Vittore,2012,detenuti stranieri Medio oriente,16
446,Casa Circondariale S.Vittore,2012,detenuti stranieri Altri paesi asiatici,65
447,Casa Circondariale S.Vittore,2012,detenuti stranieri Nord America,5
448,Casa Circondariale S.Vittore,2012,detenuti stranieri Centro America,22
449,Casa Circondariale S.Vittore,2012,detenuti stranieri Sud America,137
450,Casa Circondariale S.Vittore,2012,detenuti stranieri Altra provenienza,0
451,Casa di Reclusione Bollate,2012,Capienza regolamentare,976
452,Casa di Reclusione Bollate,2012,Detenuti presenti al 31.12,1182
453,Casa di Reclusione Bollate,2012,detenuti stranieri totale,364
454,Casa di Reclusione Bollate,2012,detenuti stranieri Ue,73
455,Casa di Reclusione Bollate,2012,detenuti stranieri Ex Jugoslavia,21
456,Casa di Reclusione Bollate,2012,detenuti stranieri Albania,49
457,Casa di Reclusione Bollate,2012,detenuti stranieri Altri paesi europei,10
458,Casa di Reclusione Bollate,2012,detenuti stranieri Tunisia,23
459,Casa di Reclusione Bollate,2012,detenuti stranieri Marocco,74
460,Casa di Reclusione Bollate,2012,detenuti stranieri Algeria,3
461,Casa di Reclusione Bollate,2012,detenuti stranieri Nigeria,4
462,Casa di Reclusione Bollate,2012,detenuti stranieri Altri paesi africani,21
463,Casa di Reclusione Bollate,2012,detenuti stranieri Medio oriente,3
464,Casa di Reclusione Bollate,2012,detenuti stranieri Altri paesi asiatici,24
465,Casa di Reclusione Bollate,2012,detenuti stranieri Nord America,0
466,Casa di Reclusione Bollate,2012,detenuti stranieri Centro America,8
467,Casa di Reclusione Bollate,2012,detenuti stranieri Sud America,51
468,Casa di Reclusione Bollate,2012,detenuti stranieri Altra provenienza,0
469,Casa di Reclusione Opera,2012,Capienza regolamentare,973
470,Casa di Reclusione Opera,2012,Detenuti presenti al 31.12,1318
471,Casa di Reclusione Opera,2012,detenuti stranieri totale,337
472,Casa di Reclusione Opera,2012,detenuti stranieri Ue,65
473,Casa di Reclusione Opera,2012,detenuti stranieri Ex Jugoslavia,17
474,Casa di Reclusione Opera,2012,detenuti stranieri Albania,62
475,Casa di Reclusione Opera,2012,detenuti stranieri Altri paesi europei,7
476,Casa di Reclusione Opera,2012,detenuti stranieri Tunisia,18
477,Casa di Reclusione Opera,2012,detenuti stranieri Marocco,58
478,Casa di Reclusione Opera,2012,detenuti stranieri Algeria,3
479,Casa di Reclusione Opera,2012,detenuti stranieri Nigeria,2
480,Casa di Reclusione Opera,2012,detenuti stranieri Altri paesi africani,18
481,Casa di Reclusione Opera,2012,detenuti stranieri Medio oriente,2
482,Casa di Reclusione Opera,2012,detenuti stranieri Altri paesi asiatici,36
483,Casa di Reclusione Opera,2012,detenuti stranieri Nord America,1
484,Casa di Reclusione Opera,2012,detenuti stranieri Centro America,7
485,Casa di Reclusione Opera,2012,detenuti stranieri Sud America,39
486,Casa di Reclusione Opera,2012,detenuti stranieri Altra provenienza,2
487,Casa Circondariale S.Vittore,2011,Capienza regolamentare,712
488,Casa Circondariale S.Vittore,2011,Detenuti presenti al 31.12,1601
489,Casa Circondariale S.Vittore,2011,detenuti stranieri totale,1065
490,Casa Circondariale S.Vittore,2011,detenuti stranieri Ue,196
491,Casa Circondariale S.Vittore,2011,detenuti stranieri Ex Jugoslavia,42
492,Casa Circondariale S.Vittore,2011,detenuti stranieri Albania,79
493,Casa Circondariale S.Vittore,2011,detenuti stranieri Altri paesi europei,28
494,Casa Circondariale S.Vittore,2011,detenuti stranieri Tunisia,84
495,Casa Circondariale S.Vittore,2011,detenuti stranieri Marocco,231
496,Casa Circondariale S.Vittore,2011,detenuti stranieri Algeria,24
497,Casa Circondariale S.Vittore,2011,detenuti stranieri Nigeria,15
498,Casa Circondariale S.Vittore,2011,detenuti stranieri Altri paesi africani,144
499,Casa Circondariale S.Vittore,2011,detenuti stranieri Medio oriente,8
500,Casa Circondariale S.Vittore,2011,detenuti stranieri Altri paesi asiatici,73
501,Casa Circondariale S.Vittore,2011,detenuti stranieri Nord America,3
502,Casa Circondariale S.Vittore,2011,detenuti stranieri Centro America,27
503,Casa Circondariale S.Vittore,2011,detenuti stranieri Sud America,111
504,Casa Circondariale S.Vittore,2011,detenuti stranieri Altra provenienza,0
505,Casa di Reclusione Bollate,2011,Capienza regolamentare,976
506,Casa di Reclusione Bollate,2011,Detenuti presenti al 31.12,1163
507,Casa di Reclusione Bollate,2011,detenuti stranieri totale,339
508,Casa di Reclusione Bollate,2011,detenuti stranieri Ue,63
509,Casa di Reclusione Bollate,2011,detenuti stranieri Ex Jugoslavia,22
510,Casa di Reclusione Bollate,2011,detenuti stranieri Albania,53
511,Casa di Reclusione Bollate,2011,detenuti stranieri Altri paesi europei,9
512,Casa di Reclusione Bollate,2011,detenuti stranieri Tunisia,17
513,Casa di Reclusione Bollate,2011,detenuti stranieri Marocco,85
514,Casa di Reclusione Bollate,2011,detenuti stranieri Algeria,2
515,Casa di Reclusione Bollate,2011,detenuti stranieri Nigeria,4
516,Casa di Reclusione Bollate,2011,detenuti stranieri Altri paesi africani,20
517,Casa di Reclusione Bollate,2011,detenuti stranieri Medio oriente,2
518,Casa di Reclusione Bollate,2011,detenuti stranieri Altri paesi asiatici,20
519,Casa di Reclusione Bollate,2011,detenuti stranieri Nord America,0
520,Casa di Reclusione Bollate,2011,detenuti stranieri Centro America,5
521,Casa di Reclusione Bollate,2011,detenuti stranieri Sud America,37
522,Casa di Reclusione Bollate,2011,detenuti stranieri Altra provenienza,0
523,Casa di Reclusione Opera,2011,Capienza regolamentare,973
524,Casa di Reclusione Opera,2011,Detenuti presenti al 31.12,1278
525,Casa di Reclusione Opera,2011,detenuti stranieri totale,344
526,Casa di Reclusione Opera,2011,detenuti stranieri Ue,62
527,Casa di Reclusione Opera,2011,detenuti stranieri Ex Jugoslavia,22
528,Casa di Reclusione Opera,2011,detenuti stranieri Albania,58
529,Casa di Reclusione Opera,2011,detenuti stranieri Altri paesi europei,11
530,Casa di Reclusione Opera,2011,detenuti stranieri Tunisia,19
531,Casa di Reclusione Opera,2011,detenuti stranieri Marocco,66
532,Casa di Reclusione Opera,2011,detenuti stranieri Algeria,0
533,Casa di Reclusione Opera,2011,detenuti stranieri Nigeria,5
534,Casa di Reclusione Opera,2011,detenuti stranieri Altri paesi africani,24
535,Casa di Reclusione Opera,2011,detenuti stranieri Medio oriente,3
536,Casa di Reclusione Opera,2011,detenuti stranieri Altri paesi asiatici,28
537,Casa di Reclusione Opera,2011,detenuti stranieri Nord America,3
538,Casa di Reclusione Opera,2011,detenuti stranieri Centro America,8
539,Casa di Reclusione Opera,2011,detenuti stranieri Sud America,34
540,Casa di Reclusione Opera,2011,detenuti stranieri Altra provenienza,1
541,Casa Circondariale S.Vittore,2010,Capienza regolamentare,712
542,Casa Circondariale S.Vittore,2010,Detenuti presenti al 31.12,1608
543,Casa Circondariale S.Vittore,2010,detenuti stranieri totale,1029
544,Casa Circondariale S.Vittore,2010,detenuti stranieri Ue,173
545,Casa Circondariale S.Vittore,2010,detenuti stranieri Ex Jugoslavia,41
546,Casa Circondariale S.Vittore,2010,detenuti stranieri Albania,75
547,Casa Circondariale S.Vittore,2010,detenuti stranieri Altri paesi europei,23
548,Casa Circondariale S.Vittore,2010,detenuti stranieri Tunisia,61
549,Casa Circondariale S.Vittore,2010,detenuti stranieri Marocco,213
550,Casa Circondariale S.Vittore,2010,detenuti stranieri Algeria,34
551,Casa Circondariale S.Vittore,2010,detenuti stranieri Nigeria,18
552,Casa Circondariale S.Vittore,2010,detenuti stranieri Altri paesi africani,167
553,Casa Circondariale S.Vittore,2010,detenuti stranieri Medio oriente,10
554,Casa Circondariale S.Vittore,2010,detenuti stranieri Altri paesi asiatici,69
555,Casa Circondariale S.Vittore,2010,detenuti stranieri Nord America,3
556,Casa Circondariale S.Vittore,2010,detenuti stranieri Centro America,25
557,Casa Circondariale S.Vittore,2010,detenuti stranieri Sud America,116
558,Casa Circondariale S.Vittore,2010,detenuti stranieri Altra provenienza,1
559,Casa di Reclusione Bollate,2010,Capienza regolamentare,976
560,Casa di Reclusione Bollate,2010,Detenuti presenti al 31.12,1090
561,Casa di Reclusione Bollate,2010,detenuti stranieri totale,308
562,Casa di Reclusione Bollate,2010,detenuti stranieri Ue,67
563,Casa di Reclusione Bollate,2010,detenuti stranieri Ex Jugoslavia,17
564,Casa di Reclusione Bollate,2010,detenuti stranieri Albania,44
565,Casa di Reclusione Bollate,2010,detenuti stranieri Altri paesi europei,7
566,Casa di Reclusione Bollate,2010,detenuti stranieri Tunisia,17
567,Casa di Reclusione Bollate,2010,detenuti stranieri Marocco,75
568,Casa di Reclusione Bollate,2010,detenuti stranieri Algeria,2
569,Casa di Reclusione Bollate,2010,detenuti stranieri Nigeria,2
570,Casa di Reclusione Bollate,2010,detenuti stranieri Altri paesi africani,21
571,Casa di Reclusione Bollate,2010,detenuti stranieri Medio oriente,1
572,Casa di Reclusione Bollate,2010,detenuti stranieri Altri paesi asiatici,17
573,Casa di Reclusione Bollate,2010,detenuti stranieri Nord America,1
574,Casa di Reclusione Bollate,2010,detenuti stranieri Centro America,5
575,Casa di Reclusione Bollate,2010,detenuti stranieri Sud America,32
576,Casa di Reclusione Bollate,2010,detenuti stranieri Altra provenienza,0
577,Casa di Reclusione Opera,2010,Capienza regolamentare,973
578,Casa di Reclusione Opera,2010,Detenuti presenti al 31.12,1312
579,Casa di Reclusione Opera,2010,detenuti stranieri totale,320
580,Casa di Reclusione Opera,2010,detenuti stranieri Ue,53
581,Casa di Reclusione Opera,2010,detenuti stranieri Ex Jugoslavia,15
582,Casa di Reclusione Opera,2010,detenuti stranieri Albania,67
583,Casa di Reclusione Opera,2010,detenuti stranieri Altri paesi europei,4
584,Casa di Reclusione Opera,2010,detenuti stranieri Tunisia,20
585,Casa di Reclusione Opera,2010,detenuti stranieri Marocco,65
586,Casa di Reclusione Opera,2010,detenuti stranieri Algeria,2
587,Casa di Reclusione Opera,2010,detenuti stranieri Nigeria,5
588,Casa di Reclusione Opera,2010,detenuti stranieri Altri paesi africani,16
589,Casa di Reclusione Opera,2010,detenuti stranieri Medio oriente,2
590,Casa di Reclusione Opera,2010,detenuti stranieri Altri paesi asiatici,30
591,Casa di Reclusione Opera,2010,detenuti stranieri Nord America,3
592,Casa di Reclusione Opera,2010,detenuti stranieri Centro America,8
593,Casa di Reclusione Opera,2010,detenuti stranieri Sud America,29
594,Casa di Reclusione Opera,2010,detenuti stranieri Altra provenienza,1
