_id,anno_rilevamento_reato,Reati_denunciati_tipologia,reati_denunciati
732,2010,Omicidi di tipo mafioso,0
733,2010,Omicidi a scopo terroristico,0
734,2010,Tentati omicidi,36
735,2010,Infanticidi,0
736,2010,Omicidi preterintenzionali,2
737,2010,Omicidi colposi totale,39
738,2010,Omicidi colposi da incidente stradale,29
739,2010,Percosse,533
740,2010,Lesioni dolose,2678
741,2010,Minacce,2245
742,2010,Sequestri di persona,49
743,2010,Ingiurie,1398
744,2010,Violenze sessuali,253
745,2010,Atti sessuali con minorenne,17
746,2010,Corruzione di minorenne,4
747,2010,Sfruttamento e favoreggiamento della prostituzione,49
748,2010,Pornografia minorile e detenzione di materiale pedopornografico,34
749,2010,Furti,88612
750,2010,furti con strappo,1008
751,2010,Furti  con destrezza,16219
752,2010,Furti  in abitazioni,6168
753,2010,Furti  in esercizi commerciali,5950
754,2010,Furti  in auto in sosta,14739
755,2010,Furti  di opere d'arte e materiale archeologico,28
756,2010,Furti di automezzi pesanti trasportanti merci,67
757,2010,Furti di ciclomotori,1904
758,2010,Furti di motocicli,3320
759,2010,Furti di autovetture,8416
760,2010,Rapine totale,2576
761,2010,Rapine in abitazione,101
762,2010,Rapine in banca,100
763,2010,Rapine in uffici postali,1
764,2010,Rapine in esercizi commerciali,375
765,2010,Rapine in pubblica via,1460
766,2010,Estorsioni,221
767,2010,Truffe e frodi informatiche,3815
768,2010,Delitti informatici,245
769,2010,Contraffazione di marchi e prodotti industriali,243
770,2010,Violazione della propriet? intellettuale,31
771,2010,Ricettazione,1171
772,2010,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",34
773,2010,Usura,8
774,2010,Danneggiamenti,24153
775,2010,Incendi totale,141
776,2010,Incendi boschivi,0
777,2010,Danneggiamento seguito da incendio,118
778,2010,Normativa sugli stupefacenti,1521
779,2010,Attentati,15
780,2010,Associazione per delinquere,17
781,2010,Associazione di tipo mafioso,0
782,2010,Contrabbando,3
783,2010,Altri delitti,20580
784,2010,Reati totale,150858
785,2009,Strage,3
786,2009,Omicidi volontari totale,22
787,2009,Omicidi a scopo di furto o rapina,0
788,2009,Omicidi di tipo mafioso,1
789,2009,Omicidi a scopo terroristico,0
790,2009,Tentati omicidi,53
791,2009,Infanticidi,0
792,2009,Omicidi preterintenzionali,0
793,2009,Omicidi colposi totale,30
794,2009,Omicidi colposi da incidente stradale,21
795,2009,Percosse,553
796,2009,Lesioni dolose,2443
797,2009,Minacce,2333
798,2009,Sequestri di persona,68
799,2009,Ingiurie,1442
800,2009,Violenze sessuali,315
801,2009,Atti sessuali con minorenne,23
802,2009,Corruzione di minorenne,3
803,2009,Sfruttamento e favoreggiamento della prostituzione,74
804,2009,Pornografia minorile e detenzione di materiale pedopornografico,34
805,2009,Furti,87674
806,2009,furti con strappo,1059
807,2009,Furti  con destrezza,19210
808,2009,Furti  in abitazioni,4694
809,2009,Furti  in esercizi commerciali,5396
810,2009,Furti  in auto in sosta,14346
811,2009,Furti  di opere d'arte e materiale archeologico,21
812,2009,Furti di automezzi pesanti trasportanti merci,46
813,2009,Furti di ciclomotori,2027
814,2009,Furti di motocicli,3470
815,2009,Furti di autovetture,8684
816,2009,Rapine totale,2523
817,2009,Rapine in abitazione,89
818,2009,Rapine in banca,126
819,2009,Rapine in uffici postali,13
820,2009,Rapine in esercizi commerciali,352
821,2009,Rapine in pubblica via,1417
822,2009,Estorsioni,187
823,2009,Truffe e frodi informatiche,3975
824,2009,Delitti informatici,257
825,2009,Contraffazione di marchi e prodotti industriali,31
826,2009,Violazione della propriet? intellettuale,59
827,2009,Ricettazione,1112
828,2009,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",34
829,2009,Usura,16
830,2009,Danneggiamenti,23144
831,2009,Incendi totale,155
832,2009,Incendi boschivi,0
833,2009,Danneggiamento seguito da incendio,121
834,2009,Normativa sugli stupefacenti,1537
835,2009,Attentati,11
836,2009,Associazione per delinquere,19
837,2009,Associazione di tipo mafioso,1
838,2009,Contrabbando,11
839,2009,Altri delitti,21033
840,2009,Reati totale,149296
841,2008,Strage,0
842,2008,Omicidi volontari totale,20
843,2008,Omicidi a scopo di furto o rapina,0
844,2008,Omicidi di tipo mafioso,0
845,2008,Omicidi a scopo terroristico,0
846,2008,Tentati omicidi,63
847,2008,Infanticidi,0
848,2008,Omicidi preterintenzionali,1
849,2008,Omicidi colposi totale,56
850,2008,Omicidi colposi da incidente stradale,54
851,2008,Percosse,605
852,2008,Lesioni dolose,2422
853,2008,Minacce,2426
854,2008,Sequestri di persona,90
855,2008,Ingiurie,1487
856,2008,Violenze sessuali,291
857,2008,Atti sessuali con minorenne,28
858,2008,Corruzione di minorenne,2
859,2008,Sfruttamento e favoreggiamento della prostituzione,78
860,2008,Pornografia minorile e detenzione di materiale pedopornografico,21
861,2008,Furti,90986
862,2008,furti con strappo,1294
863,2008,Furti  con destrezza,20192
864,2008,Furti  in abitazioni,5082
865,2008,Furti  in esercizi commerciali,5612
866,2008,Furti  in auto in sosta,16026
867,2008,Furti  di opere d'arte e materiale archeologico,21
868,2008,Furti di automezzi pesanti trasportanti merci,56
869,2008,Furti di ciclomotori,1886
870,2008,Furti di motocicli,3343
871,2008,Furti di autovetture,10168
872,2008,Rapine totale,3372
873,2008,Rapine in abitazione,127
874,2008,Rapine in banca,163
875,2008,Rapine in uffici postali,16
876,2008,Rapine in esercizi commerciali,487
877,2008,Rapine in pubblica via,1842
878,2008,Estorsioni,224
879,2008,Truffe e frodi informatiche,4842
880,2008,Delitti informatici,240
881,2008,Contraffazione di marchi e prodotti industriali,31
882,2008,Violazione della propriet? intellettuale,123
883,2008,Ricettazione,1240
884,2008,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",37
885,2008,Usura,13
886,2008,Danneggiamenti,22661
887,2008,Incendi totale,182
888,2008,Incendi boschivi,0
889,2008,Danneggiamento seguito da incendio,163
890,2008,Normativa sugli stupefacenti,1604
891,2008,Attentati,18
892,2008,Associazione per delinquere,21
893,2008,Associazione di tipo mafioso,1
894,2008,Contrabbando,8
895,2008,Altri delitti,23141
896,2008,Reati totale,156497
897,2007,Strage,0
898,2007,Omicidi volontari totale,22
899,2007,Omicidi a scopo di furto o rapina,3
900,2007,Omicidi di tipo mafioso,0
901,2007,Omicidi a scopo terroristico,0
902,2007,Tentati omicidi,48
903,2007,Infanticidi,0
904,2007,Omicidi preterintenzionali,0
905,2007,Omicidi colposi totale,76
906,2007,Omicidi colposi da incidente stradale,70
907,2007,Percosse,617
908,2007,Lesioni dolose,2336
909,2007,Minacce,2406
910,2007,Sequestri di persona,84
911,2007,Ingiurie,1420
912,2007,Violenze sessuali,291
913,2007,Atti sessuali con minorenne,28
914,2007,Corruzione di minorenne,9
915,2007,Sfruttamento e favoreggiamento della prostituzione,65
916,2007,Pornografia minorile e detenzione di materiale pedopornografico,22
917,2007,Furti,109949
918,2007,furti con strappo,1471
919,2007,Furti  con destrezza,24715
920,2007,Furti  in abitazioni,5459
921,2007,Furti  in esercizi commerciali,6750
922,2007,Furti  in auto in sosta,19368
923,2007,Furti  di opere d'arte e materiale archeologico,27
924,2007,Furti di automezzi pesanti trasportanti merci,65
925,2007,Furti di ciclomotori,2946
926,2007,Furti di motocicli,4380
927,2007,Furti di autovetture,12913
928,2007,Rapine totale,3700
929,2007,Rapine in abitazione,135
930,2007,Rapine in banca,257
931,2007,Rapine in uffici postali,12
932,2007,Rapine in esercizi commerciali,463
933,2007,Rapine in pubblica via,2121
934,2007,Estorsioni,186
935,2007,Truffe e frodi informatiche,4466
936,2007,Delitti informatici,146
937,2007,Contraffazione di marchi e prodotti industriali,29
938,2007,Violazione della propriet? intellettuale,111
939,2007,Ricettazione,1655
940,2007,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",37
941,2007,Usura,10
942,2007,Danneggiamenti,23805
943,2007,Incendi totale,220
944,2007,Incendi boschivi,0
945,2007,Danneggiamento seguito da incendio,128
946,2007,Normativa sugli stupefacenti,1820
947,2007,Attentati,18
948,2007,Associazione per delinquere,27
949,2007,Associazione di tipo mafioso,2
950,2007,Contrabbando,30
951,2007,Altri delitti,20277
952,2007,Reati totale,174040
953,2006,Strage,0
954,2006,Omicidi volontari totale,22
955,2006,Omicidi a scopo di furto o rapina,2
956,2006,Omicidi di tipo mafioso,0
957,2006,Omicidi a scopo terroristico,0
958,2006,Tentati omicidi,47
959,2006,Infanticidi,0
960,2006,Omicidi preterintenzionali,1
961,2006,Omicidi colposi totale,63
962,2006,Omicidi colposi da incidente stradale,54
963,2006,Percosse,544
964,2006,Lesioni dolose,2191
965,2006,Minacce,2050
966,2006,Sequestri di persona,59
967,2006,Ingiurie,1162
968,2006,Violenze sessuali,294
969,2006,Atti sessuali con minorenne,13
970,2006,Corruzione di minorenne,6
971,2006,Sfruttamento e favoreggiamento della prostituzione,59
972,2006,Pornografia minorile e detenzione di materiale pedopornografico,20
973,2006,Furti,106922
974,2006,furti con strappo,1234
975,2006,Furti  con destrezza,22970
976,2006,Furti  in abitazioni,4389
977,2006,Furti  in esercizi commerciali,6644
978,2006,Furti  in auto in sosta,17470
979,2006,Furti  di opere d'arte e materiale archeologico,33
980,2006,Furti di automezzi pesanti trasportanti merci,61
981,2006,Furti di ciclomotori,3106
982,2006,Furti di motocicli,4128
983,2006,Furti di autovetture,14709
984,2006,Rapine totale,3561
985,2006,Rapine in abitazione,116
986,2006,Rapine in banca,140
987,2006,Rapine in uffici postali,26
988,2006,Rapine in esercizi commerciali,535
989,2006,Rapine in pubblica via,1982
990,2006,Estorsioni,169
991,2006,Truffe e frodi informatiche,3926
992,2006,Delitti informatici,123
993,2006,Contraffazione di marchi e prodotti industriali,30
994,2006,Violazione della propriet? intellettuale,100
995,2006,Ricettazione,1326
996,2006,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",48
997,2006,Usura,7
998,2006,Danneggiamenti,21168
999,2006,Incendi totale,277
1000,2006,Incendi boschivi,0
1001,2006,Danneggiamento seguito da incendio,157
1002,2006,Normativa sugli stupefacenti,1447
1003,2006,Attentati,39
1004,2006,Associazione per delinquere,27
1005,2006,Associazione di tipo mafioso,1
1006,2006,Contrabbando,23
1007,2006,Altri delitti,17935
1008,2006,Reati totale,163817
1009,2005,Strage,4
1010,2005,Omicidi volontari totale,14
1011,2005,Omicidi a scopo di furto o rapina,1
1012,2005,Omicidi di tipo mafioso,0
1013,2005,Omicidi a scopo terroristico,0
1014,2005,Tentati omicidi,39
1015,2005,Infanticidi,1
1016,2005,Omicidi preterintenzionali,2
1017,2005,Omicidi colposi totale,73
1018,2005,Omicidi colposi da incidente stradale,63
1019,2005,Percosse,582
1020,2005,Lesioni dolose,2252
1021,2005,Minacce,2056
1022,2005,Sequestri di persona,74
1023,2005,Ingiurie,1139
1024,2005,Violenze sessuali,253
1025,2005,Atti sessuali con minorenne,11
1026,2005,Corruzione di minorenne,5
1027,2005,Sfruttamento e favoreggiamento della prostituzione,80
1028,2005,Pornografia minorile e detenzione di materiale pedopornografico,19
1029,2005,Furti,100888
1030,2005,furti con strappo,non disponibile
1031,2005,Furti  con destrezza,non disponibile
1032,2005,Furti  in abitazioni,non disponibile
1033,2005,Furti  in esercizi commerciali,non disponibile
1034,2005,Furti  in auto in sosta,non disponibile
1035,2005,Furti  di opere d'arte e materiale archeologico,non disponibile
1036,2005,Furti di automezzi pesanti trasportanti merci,non disponibile
1037,2005,Furti di ciclomotori,non disponibile
1038,2005,Furti di motocicli,non disponibile
1039,2005,Furti di autovetture,non disponibile
1040,2005,Rapine totale,2914
1041,2005,Rapine in abitazione,non disponibile
1042,2005,Rapine in banca,non disponibile
1043,2005,Rapine in uffici postali,non disponibile
1044,2005,Rapine in esercizi commerciali,non disponibile
1045,2005,Rapine in pubblica via,non disponibile
1046,2005,Estorsioni,163
1047,2005,Truffe e frodi informatiche,3466
1048,2005,Delitti informatici,89
1049,2005,Contraffazione di marchi e prodotti industriali,48
1050,2005,Violazione della propriet? intellettuale,173
1051,2005,Ricettazione,1296
1052,2005,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",23
1053,2005,Usura,9
1054,2005,Danneggiamenti,19028
1055,2005,Incendi totale,223
1056,2005,Incendi boschivi,0
1057,2005,Danneggiamento seguito da incendio,93
1058,2005,Normativa sugli stupefacenti,1482
1059,2005,Attentati,23
1060,2005,Associazione per delinquere,29
1061,2005,Associazione di tipo mafioso,1
1062,2005,Contrabbando,28
1063,2005,Altri delitti,16737
1064,2005,Reati totale,153317
1065,2004,Strage,0
1066,2004,Omicidi volontari totale,22
1067,2004,Omicidi a scopo di furto o rapina,0
1068,2004,Omicidi di tipo mafioso,0
1069,2004,Omicidi a scopo terroristico,0
1070,2004,Tentati omicidi,45
1071,2004,Infanticidi,0
1072,2004,Omicidi preterintenzionali,0
1073,2004,Omicidi colposi totale,63
1074,2004,Omicidi colposi da incidente stradale,54
1075,2004,Percosse,404
1076,2004,Lesioni dolose,1994
1077,2004,Minacce,1717
1078,2004,Sequestri di persona,61
1079,2004,Ingiurie,967
1080,2004,Violenze sessuali,224
1081,2004,Atti sessuali con minorenne,15
1082,2004,Corruzione di minorenne,5
1083,2004,Sfruttamento e favoreggiamento della prostituzione,76
1084,2004,Pornografia minorile e detenzione di materiale pedopornografico,15
1085,2004,Furti,96128
1086,2004,furti con strappo,non disponibile
1087,2004,Furti  con destrezza,non disponibile
1088,2004,Furti  in abitazioni,non disponibile
1089,2004,Furti  in esercizi commerciali,non disponibile
1090,2004,Furti  in auto in sosta,non disponibile
1091,2004,Furti  di opere d'arte e materiale archeologico,non disponibile
1092,2004,Furti di automezzi pesanti trasportanti merci,non disponibile
1093,2004,Furti di ciclomotori,non disponibile
1094,2004,Furti di motocicli,non disponibile
1095,2004,Furti di autovetture,non disponibile
1096,2004,Rapine totale,2876
1097,2004,Rapine in abitazione,non disponibile
1098,2004,Rapine in banca,non disponibile
1099,2004,Rapine in uffici postali,non disponibile
1100,2004,Rapine in esercizi commerciali,non disponibile
1101,2004,Rapine in pubblica via,non disponibile
1102,2004,Estorsioni,165
1103,2004,Truffe e frodi informatiche,3163
1104,2004,Delitti informatici,66
1105,2004,Contraffazione di marchi e prodotti industriali,47
1106,2004,Violazione della propriet? intellettuale,197
1107,2004,Ricettazione,1549
1108,2004,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",51
1109,2004,Usura,8
1110,2004,Danneggiamenti,17150
1111,2004,Incendi totale,217
1112,2004,Incendi boschivi,1
1113,2004,Danneggiamento seguito da incendio,117
1114,2004,Normativa sugli stupefacenti,1507
1115,2004,Attentati,12
1116,2004,Associazione per delinquere,117
1117,2004,Associazione di tipo mafioso,0
1118,2004,Contrabbando,4
1119,2004,Altri delitti,12654
1120,2004,Reati totale,141636
